,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN,Biomass,Location
137,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Media_19.csv
138,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Media_19.csv
139,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Media_19.csv
140,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_No apta_20.csv
141,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_No apta_20.csv
142,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_No apta_20.csv
143,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_No apta_20.csv
144,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_No apta_20.csv
145,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_No apta_20.csv
146,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_No apta_20.csv
147,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_No apta_21.csv
148,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_No apta_21.csv
149,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_No apta_21.csv
150,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_No apta_21.csv
151,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_No apta_21.csv
152,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_No apta_21.csv
153,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_No apta_21.csv
154,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_No apta_22.csv
155,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_No apta_22.csv
156,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_No apta_22.csv
157,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_No apta_22.csv
158,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_No apta_22.csv
159,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_No apta_22.csv
160,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_No apta_22.csv
161,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_No apta_23.csv
162,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_No apta_23.csv
163,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_No apta_23.csv
164,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_No apta_23.csv
165,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_No apta_23.csv
166,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_No apta_23.csv
167,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_No apta_23.csv
